"input_meta","input_text","clarq_meta","clarq_text"
"post_0","gnu lesser gpl vs gnu gpl i want to know the difference between gnu lesser gpl and gnu gpl . if i modify a free and open source software and sell it to a customer , do i have to share my modifications with the community as well ? which gpl of the two should i use if i do not want to share my source code modifications with anyone other than my customer ?","clarq_0","why do you want to do this ?"
"post_1","ubuntu opens multiple workspaces by default for some reason my ubuntu 14.04 is opening multiple workspaces , like shown in the screenshot below : how do i disable this behavior ? i checked the behavior tab in appearance settings and the enable workspaces option is not checked . still this is happening .","clarq_1","which desktop environment are you using ?"
"post_2","how to download ubuntu 10.04 ( lucid ) 's repository ? since lucid 's packages where moved from `archive.ubuntu.com` to `old-releases.ubunttu.com` i 'm a bit worried about availability of the repository and want to provide a full local mirror . are you aware of a way to download the hole ubuntu package repository ( lucid , lucid-backports , lucid-security and lucid-updates ) other than `wget -r` ? i can not connect with rsync or ftp to `old-releases.ubuntu.com` .","clarq_2","why do you want to do this ?"
"post_3","font change after turning on pc i turned off my pc ( ubuntu 14.04 ) and when i turned it back on the fonts had changed ( file names , folder names etc. ) . why did this happen and how can i change the fonts again ?","clarq_3","do you have &ltunk&gt installed ?"
"post_4","unable to login as root after mysql service restart i installed mysql on ubuntu 14.04 lts like : sudo apt-get install mysql-server libapache2-mod-auth-mysql php5-mysql after completely removing mysql with : sudo apt-get remove -- purge mysql-server mysql-client mysql-common sudo apt-get autoremove sudo apt-get autoclean sudo deluser mysql sudo rm -rf /var/lib/mysql everything works fine until i restart the mysql service with : sudo service mysql restart **then i can no longer login with the root user and password . ** i get the error access denied for root @ localhost using password yes","clarq_4","what is the output of `ls -l &ltunk&gt ?"
"post_5","how to prevent the power button to shutdown directly the system ? i did a fresh install of ubuntu 13.10. when i press my power button , my computer immediately shuts down . in ubuntu 13.04 i got a nice menu , where i could choose what to do . it is gone now and i want it back . here is my/etc/acpi/powerbtn.shin pastebin.i already didgsettings set org.gnome.settings-daemon.plugins.power button-word 'interactive'wherewordishibernate , power , sleepandsuspend .","clarq_5","what do you mean by `` shutdown '' ?"
"post_6","authorization pop-up requested by http : //localhost:51675 every time i run firefox using ubuntu 10.04. whenever i run firefox i get a pop up requesting authorisation . it says'a user name and password are being requested byhttp : //localhost:51675. the site says `` server '' i have tried all passwords i know and nothing is accepted . if i click 'cancel ' it disappears but re-appears after about 5 minutes . this whole 'experience ' is accompanied by a great deal of hard disc activity.list of extensionscan anyone help with this ?","clarq_6","can you post a screenshot ?"
"post_7","how can i change the keyboard layout in the login screen ? i have different users on the machine who use different keyboard layouts . in 11.04 , you could change the keyboard layout on the login screen ( and it would remember it per user ) .how can i do this in 11.10 ? or is it not possible ?","clarq_7","what desktop environment are you using ?"
"post_8","acer aspire 5740 ( model ms2286 ) , do i have bluetooth ? i have an acer aspire 5740 laptop and it has a hardware button for enabling and disabling bluetooth next to the button for toggling wifi . but when i go to system- > preferences- > bluetooth it says `` no bluetooth adapters present '' .","clarq_8","did you ever find a solution to this ?"
"post_9","not able to save setting in ubuntu 15.10 yesterday , i install ubuntu 15.10 and since then my system is not saving the setting ( everything is getting reset ) , does any one know about it ?","clarq_9","what do you mean by &ltunk&gt ?"
"post_10","why ca n't i mkdir ? it seems to me that i have the proper permissions , so why ca n't i create directories in my $ home directory ? dotancohen @ neptune : ~ $ whoami dotancohen dotancohen @ neptune : ~ $ pwd /home/dotancohen dotancohen @ neptune : ~ $ ls -l .. | grep dotancohen drwxr-xr-x 16 shelly shelly 4096 jul 2 15:02 dotancohen dotancohen @ neptune : ~ $ mkdir test mkdir : can not create directory `test ' : permission denied dotancohen @ neptune : ~ $","clarq_10","what is the output of `ls -l &ltunk&gt ?"
"post_11","url for ubuntu 16.04 security updates which url is recommended forubuntu & nbsp ; 16.04 ( xenial xerus ) security updates ? deb http : //security.ubuntu.com/ubuntu xenial-security ... ordeb http : //archive.ubuntu.com/ubuntu xenial-security ...","clarq_11","what is your question ?"
"post_12","how to blacklist a pci device so a system can boot ? i installed ubuntu 10.10 on someone 's computer which it had a 'connexant fusion 878a ' pci card installed , the card is problematic , i had to unplug it just to use the live cd.now my question is how to know which module to blacklist , so he can use the card in windows and override it when he boots into ubuntu.there 's a twist , i ca n't plug it andlsmodit because it wo n't let the system boot up even in 'recovery mode'.kernel : 2.6.35-22","clarq_12","did you install the &ltunk&gt driver ?"
"post_13","problem to search a word in pdf file with document viewer ? i ca n't search persian words . in fact i should search the reserve form of that word to find it . how can i fix this problem by searching the right form of that word ? example : if the word is : i should search it : how can i fix this ? output oflocale : lang=en_us.utf-8 language=en_us lc_ctype= '' en_us.utf-8 '' lc_numeric=fa_ir lc_time=fa_ir lc_collate= '' en_us.utf-8 '' lc_monetary=fa_ir lc_messages= '' en_us.utf-8 '' lc_paper=fa_ir lc_name=fa_ir lc_address=fa_ir lc_telephone=fa_ir lc_measurement=fa_ir lc_identification=fa_ir lc_all=","clarq_13","can you post a screenshot ?"
"post_14","i just upgraded , and my server has to be reinstalled something is very wrong with the latest distro-upgrade ... . ubuntu ca n't even read a directory on my hdd , and i cant silence the report to try and see whats wrong , then there is some lib that is crucial for the new version , that didnt get installed.and , there is nothing wrong with my hdd , trust me , i have checked it for errors 72 hours .","clarq_14","can you post the output of `sudo fdisk -l` ?"
"post_15","lego digital designer i 'm having no luck with opening the ldd . i 've tried it with and without wine but nothing seems to work . any ideas ?","clarq_15","what do you mean by &ltunk&gt ?"
"post_16","cs : go game not launching . ( steam ) so i installed cs : go and launched it now it showed on my little steam logo it went green then it just went back to blue aka not being in-game and there was no application that launched . ( i am running ubuntu 14.04 )","clarq_16","what is your graphics card ?"
"post_17","is there a desktop tool for delicious.com ( aka del.icio.us ) ? i 'm looking for a tool that would allow me to interface with my delicious bookmarks from within ubuntu . i know of the firefox plugin , but i do n't want something in the browser . i 'd also prefer that it have a gui . ( though having a cli in addition would be nice . ) all i 've found in the repos are libraries and scuttle .","clarq_17","why do you want to do this ?"
"post_18","utility/sniffer to track internet traffic/speed of all pcs in local network it does n't matter if utility is for ubuntu or for windows xp/7 , just need to see what pc is using the most traffic in local network.probably some spammer etc on that pc.need to get rid of that , before calling to my isp .","clarq_18","what do you mean by &ltunk&gt ?"
"post_19","ubuntu 15.04 boots into busybox i tryed to install ubuntu 15.04 64bit onto my computer . after the installation it boots into busybox with a initramfs prompt . how do i fix this ? installation went well with no errors . after it , it just freezes and boots me into busybox with no errors .","clarq_19","are you able to boot into safe mode ?"
"post_20","how to install 2 telegram desktop on a ubuntu pc ? i have 2 telegram accounts and i want to have both of them on my pc . telegram has anapplicationfor ubuntu . but it only supports one account at the time.my question is , how can i duplicate this application to use 2 telegram account ?","clarq_20","what do you mean by `` desktop '' ?"
"post_21","switch between ubuntu and windows 7 is it at all possible to switch between windows and ubuntu by press of a button , on a system with windows 7 - ubuntu 11.10 dual boot set up ?","clarq_21","why do you want to do this ?"
"post_22","how to install tamil language in ubuntu touch ? how to install tamil language in ubuntu touch on my nexus 5 cant able to install ttf-tamil-fonts in terminal","clarq_22","what do you mean by &ltunk&gt ?"
"post_23","after boot repair , windows does not boot following are the steps till i purchased my computerinstalled windows 7installed ubuntuthere was no boot option , and ubuntu automatically boot , leaving me no option to boot my windowsi used windows repair to repair mbr or whatever it isnow , ubuntu does not boot , there is no option to boot ubuntufinally , i used boot repair disc.now , there are options for windows and ubuntu.ubuntu boot properly.windows boot but there is blank purple screen after thathere is the link : http : //paste.ubuntu.com/12095051please help","clarq_23","are you able to boot into uefi mode ?"
"post_24","how to open a remote python program from terminal by ssh ? i type ssh -x name @ blah.edu asks for passwrd i type it in and get logged in name @ blah.edu : ~ $ program.py then nothing happens , when it should pop up","clarq_24","what terminal are you using ?"
"post_25","all files erased after installing ubuntu yeah , i know i should have backed up my files before proceeding , i completely forgot . well , the thing is that i had a dual-boot system with windows 7 and ubuntu 10.10. yesterday , i installed ubuntu 11.04 alpha 3 ( through live usb ) . i chose that 11.04 would install over 10.10 on the installation wizard , where i have no important files . however , it overwrote windows too , and its data . is there some way to recover it ? thanks !","clarq_25","how did you install ubuntu ?"
"post_26","whats happened to ubuntu software i ca n't seem to find any open source programs on my ubuntu software finder nor can i view my installed or updates .","clarq_26","what is the output of `sudo apt-get update` ?"
"post_27","root running emacs today , after about 20 minutes of logging in my ubuntu 10.4 , i notice the cpu and hard disk usage going up . top revealed that root was running emacs23.it is basically the same behavior described atubuntu forumsbut there is no answer there . any clue about this ?","clarq_27","what do you mean by &ltunk&gt ?"
"post_28","vivid vervet upgrade mess - flickering i upgraded to ubuntu 15.04 which was just released . after reboot , i get as far as the login screen but it only appears for a second , then it goes to an infinite loop of screen flickering . how could i fix it ? here is a video of what i 'm seeing : https : //youtu.be/nctcw267v8y ( the tag `` nvidia '' is added to this question as that is , or at least was , my graphics driver . )","clarq_28","what graphics card do you have ?"
"post_29","camera movies will not play i have recoded video footage on my fuji x-s1 camera , which plays back fine on the actual camera , but when transferred to my computer , running ubuntu 12.04 , the movie files will not play . photographs taken on the same camera view fine , it is just the movies . can anyone assist in this please ?","clarq_29","what kind of camera are you using ?"
"post_30","where are gedit 's preferences ? this is incredibly weird . i do n't see `` preferences '' in any of my gedit menus . i 'm running version 3.8.3. all i want to do is show line numbers , but i ca n't do that without preferences . where the heck are they hiding ?","clarq_30","what version of ubuntu are you using ?"
"post_31","problem on terminal of ubuntu 12.04 lts i installed ubuntu 12.04 lts in windows 8.1 using vmware workstation . when i open a file in the terminal usingvi filename.c , the arrow buttons will not work properly , pressing up arrow prints a , down arrow b , right arrow c , left arrow d. how can i overcome this problem ?","clarq_31","what do you mean by &ltunk&gt ?"
"post_32","matrix operation in bash the point is that i woul need to transpose a large file - 1600 times 80k but the entries are not tab delimited but just u and k so it looks likeuuuutttututuuututut ttutututuutututututis there a fdast way in bash , python or perl to do it ?","clarq_32","why do you want to do this ?"
"post_33","unable to create or extract archives in ubuntu 12.04.5 unity here 's my problem : i want to create/extract archives ( like .zip or .tar.gz ) from my file manager in ubuntu 12.04.5 unity . but when i right-click a file , the options simply are not there.when i right-click a normal file , there is no option to `` create archive '' and when i right-click an archive , there are no options to `` extract here '' or `` extract to '' .","clarq_33","what do you mean by `` &ltunk&gt '' ?"
"post_34","why does xubuntu require less ram than ubuntu ? hello i would like to know why xubuntu requires less ram to work properly than ubuntu , when both are linux based systems and both are running on linux kernel . is it because some of the inbuilt tasks are not running ? so the ram isnot flooded by the system ?","clarq_34","how much ram do you have ?"
"post_35","ubuntu thinks i 'm on kali so i installed kali repos on ubuntu . bad idea btw . they did n't work quite well so i removed them however ubuntu thinks i 'm on kali ? [ image 1 ] [ 1 ] it also broke things like software manager saying no module found `` kali '' [ image 2 ] [ 2 ] tried dist-upgrade , upgrade , idk what to do . [ 1 ] : http : //i.stack.imgur.com/wm37d.png [ 2 ] : http : //i.stack.imgur.com/zijpi.png","clarq_35","can you post the output of `sudo apt-get install &ltunk&gt ?"
"post_36","no version of ubuntu can be installed with any skylake 6th generation intel processor ubuntu ca n't be installed on my system because of what the title says . this is because support intel hd graphics 530 was only just added in linux kernel 4.3 and all versions of ubuntu only have kernel versions up to 4.2 as of 15.10. my computer 's processor is the new intel skylake 6600k if you need to know , everything else is generic . it has a uefi bios motherboard . help ?","clarq_36","what motherboard do you have ?"
"post_37","connecting the envelope indicator in panel to my gmail account in 13.10 i have one question . is there a way of connecting the envelope in the upper panel in ubuntu 13.10 , to notify me when i get mail on gmail ? i mean this little thing : http : //i.stack.imgur.com/ly1gt.pngthankful in advance ...","clarq_37","what version of ubuntu are you using ?"
"post_38","how to work with dd command ? if i have executed below commands , dd if=/dev/zero of=/mnt/cdrom/usbfile.bin bs=1024 count=1048576getting error asdd : opening `/mnt/cdrom/usbfile.bin ' : no such file or directory.how to create ausbfile.binfile ? i thought after executing above mentioned command , it will createusbfile.binfile . but i 'm getting error .","clarq_38","what command are you trying to run ?"
