"input_meta","input_text"
"post_0","what is difference between .ssh and .ssh2 directories why i have both in home directory ? is this just different versiosn and one can be deletec ? when i generate ssh public/private key with programssh-keygen , which is used ?"
"post_1","how can i feed a file into a program that reads stdin ( on windows command line ) ? i have a program p that processes stdin . how can i feed a file into this program from the windows command line ? p < filename does not work . filename | p filename > p does not work either ."
"post_2","rename multiple files preface : i am an absolute novice with linux , please do n't judge strictly.i have a directory containing several images ( over 100 ) of a .pnm extension . i wish to rename them in such a sense , that their names should be `` img1.pnm '' , `` img2.pnm '' , `` img3.pnm '' , etc . so they should have a common part in their names '' img '' and different indicies running from `` 1 '' .how can i do this ?"
"post_3","`` configure : error : invalid variable name : `prefix ' '' while runing configure jay @ ubuntu : ~/downloads/systemc-2.3.1/objdir $ sudo ../configure prefix=/usr/local/systemc-2.2 configure : error : invalid variable name : `prefix '"
"post_4","how do i extract several still images from the video file using command line ? video files are in wmv , but also having avi and rm support would be great"
"post_5","change thunderbird 's icon while running i 'm searching a way totemporarilychange the icon of an application ( thunderbird in my case ) while it 's running . i tried a dozen of addons , but none if them did the job . is there a way to code this ? ps : pidgin 's im window does it all the time , maybe we could steal their way ?"
"post_6","what is the actual function of windows services ? i 'm doing a uk a level it course and i just wanted to know what the actual function of windows services are.i know they are background processes , that do n't need user intervention but what do they actually do ?"
"post_7","debian : cron job not firing i have a cron-job , which is just a script , clearing directories , which accumulate files over time . unfortunately , it is not firing . any idea why . i have created the cron-job using cronmaker.com . how do i know it was not fired , because it is set to fire every night , yet there are old files in it . output of crontab -e 0 0 3 1/1 * ? * ./home/deploy/scripts/clearzip.sh thank you for your help ."
"post_8","extend partition in kvm i want to extend my qcow2 image file , we have install windows machine on it . below are the steps we performed . virt-filesystems -- long -h -- all -a windows-7-64.qcow2 truncate -s windows-7-64.qcow2 windows-7-64.qcow2.new truncate -s +5g windows-7-64.qcow2.new virt-resize -- expand /dev/sda2 windows-7-64.qcow2 windows-7-64.qcow2.new and finally i rename my windows-7-64.qcow2.new qcow2 image to existing image but it is not working . please help"
"post_9","ssh into my mac from my ipod ok so this is what i got , but it do n't look right ... note that localhost is a variable ip i forward some port or the other to my dns : ssh -r 19999 : localhost:22 sourceuser @ remotehost connect to my remotehost from my machine : ssh sourceuser @ remotehost and then connect to the port i forwarded : ssh localhost -p 19999 second question , there are a bunch of ssh clients for the iphone . which one should i use ?"
"post_10","maven 2 mysteriously showing up in $ path i 'm upgrading to maven 3 but have hit a small snag in that maven 2 is mysteriously showing up in mypathvariable . i 've checked~/.bashrc , ~/.profile , /etc/bash.bashrc , /etc/environment , /etc/profileand ca n't find it anywhere . what am i missing ?"
"post_11","wireless connection error error 105 ( net : :err_name_not_resolved ) : the server could not be found.i am trying to understand and debug the above error . i am able to connect to wireless from my ubuntu , but not able to browse . i am using chrome . it works on windows though . what am i doing wrong ?"
"post_12","how to let ubuntu promt my password on the greeter screen instead of the keyring promt ? i want to type my password on the greeter screen instead of the keyring promt , because this can simply be dismissed.please correct me if i 'm wrong , and sorry for the horrible english"
"post_13","how to install ubuntu on device micromax a52 i would like to install ubuntu on my micromax a52 android device via windows , as i do n't have ubuntu on my system ."
"post_14","do we have to check anything other than ddr while buying ram ? i know many have asked this before , but my problem is different . after going through lot of blogs , i went ahead and brought a kingston ddr2 4gb ram . after the delivery when i tried to install it , i was unable to fit inside the ram slot . am i missing something here because i have like checked it 100 times that my ram is of ddr2 please help ."
"post_15","how to connect to wan through wireless network router i 'm currently using tl-wr841nd with firmware version v8_130506 to connect to internet using the setting in this picture by using a lan wire provided by my isp in my router 's wan port : i have been mac cloning . but i can n't access to internet :"
"post_16","something is wrong with my graphic card after couple of minutes when i play a heavy games ( like bf4 , warthunder ... ) the game is starting to get like messy.. i recorded how it looks like : https : //www.youtube.com/watch ? v=19d4suzuolkthis is the dxdiag : http : //pastebin.com/e4ce7yyewhat can cause this problem ?"
"post_17","limit excel cpu usage is there a way to limit how much cpu usage excel has access to when running ? i have a vba script that calculates a bunch of giant array formulas . the entire calculation takes maybe 20 minutes using 100 % of my cpu but i ca n't use my machine during the time and would rather have it run in the background at like 50 % cpu usage so i can continue to do other things . any suggestions ?"
"post_18","timezone conversion by command line i know abouthttp : //www.timeanddate.com/worldclock/converter.htmli ca n't figure out how to queryhttp : //www.google.comin a sane natural format like `` 5pm bst in pst '' .or do i have to write such an app ?"
"post_19","why do i get titles of oo document in gibberish opening an openoffice file with hebrew name , the file name appears as gibberish . in the folder it is read fine , but when i open the file , on the top bar of the document window and in the bottom of the screen it appears as gibberish . it probably related to l18n l10n , but i do n't know were to start troubleshooting this . i use ubuntu 10.10 with openoffice 3.2"
"post_20","microsoft access : `` ca n't find language dll msain900.dll '' is there a way to prevent this dll from being required ? or where can i get this dll ?"
"post_21","bash : float to integer is this right way of doing float to integer in bash , or is there any other method ? flottoint ( ) { printf `` % .0f\n '' `` $ @ '' }"
"post_22","how to show the list of shortcuts produced by super key using command line what is the command line that shows the same result of holding thesuperkey ? ! ! [ enter image description here ] [ 1 ] [ 1 ] : http : //i.stack.imgur.com/dlgea.png"
"post_23","unity remove titlebar when maximized vertically is it possible to hide the titlebar of a window that is maximized vertically ? like it is done when maximizing it ?"
"post_24","why i cant ' defrag my computer ? i tried to stard defrag in many way ( start menu , run dialog and so on ) , and never would start . so i tried trough command line and what i get when i rundefragcommand is : parameter is not correct ( 0x80070057 ) followed by the usual description and information about the command . what problem is this ? i 've tried to change the decimal separator and to launch thisfixitbut the error is still there . any ideas ?"
"post_25","how do i fix error 4112 in rosetta stone ? error 4112 shows upwhen i select my language level . ( german 1 or french 1 ) i think it 's also like this for the other levels.what is causing this and how can i fix it ?"
"post_26","drag and drop files with curl i know that curl supports file upload e.g.here . is it possible to upload files to site which has html5 drag and drop box for file uploading"
"post_27","excel found unreadable content in .xlsx do you want to recover the contents of this workbook ? if you trust the source of this workbook , click yes while opening the excel i am getting this `` excel found unreadable content in .xlsx do you want to recover the contents of this workbook ? if you trust the source of this workbook , click yes '' .can any one help me in fixing this issue . i am using excel 2010 in windows7 ."
"post_28","ask user privilage access i create one 'pradeep ' user , that 'pradeep ' user access only 'pradeep ' home directory , and pradeep user can not view remaining home directory and he go that remainng home directory its shows access denied , how to give privileges to the 'pradeep ' user ? kindly suggest me"
"post_29","how to redirect output from an infinite-loop program i have a program running an infinite loop and will not terminate until receiving actrl+csignal . what i want to do is redirecting the output from this program into a file , saylogfor example . however , after ictrl+ced the program , nothing is recorded intolog . i think it maybe some problem related to i/o buffer , but have no idea how to solve it . am i on the right track ? how to dump output from an infinite-loop program into a file ?"
"post_30","internet explorer 11 addons do n't work in ie11 ca n't adjust my addons settings . cant enable lastpass or addblock plus . area for enablr/disable is greyed out . only ms addons are enabled . ivve reinstalled ie twice . win7 64 bit help me thanks"
"post_31","ubuntu 14.04 - sound indicator - volume slider does n't appear i installed ubuntu 14.04 about a month ago . and i messed it up.finally , everything else works , but when i click on the volume icon near the clock , the volume indicator is not shown ( the `` slider '' that is shown while volume is being changed ) .is there any way i can fix this ?"
